"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678348277921962E9,"2023-03-09 08:51:17.922 UTC+01:00"
"PAUSE",1.895020783331711E1,1.678348296871986E9,"2023-03-09 08:51:36.872 UTC+01:00"
