"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678348435203033E9,"2023-03-09 08:53:55.203 UTC+01:00"
"PAUSE",5.866999066667631E1,1.678348493872454E9,"2023-03-09 08:54:53.872 UTC+01:00"
