"t","z","v","a"
9.600000000E-1,7.371115854E-1,-3.849499384E-1,-3.541145542E1
9.800000000E-1,6.985835564E-1,-1.370575380E0,-2.985947129E1
1.000000000E0,6.225493997E-1,-2.204261574E0,-1.953292131E1
1.020000000E0,5.198828001E-1,-2.775145128E0,-6.471989184E0
1.040000000E0,4.086988147E-1,-2.982958607E0,6.292207836E0
1.060000000E0,3.076827712E-1,-2.770647265E0,1.623004275E1
1.080000000E0,2.297313053E-1,-2.157416816E0,2.245806390E1
1.100000000E0,1.801730746E-1,-1.236502644E0,2.566857621E1
1.120000000E0,1.618737062E-1,-1.599852730E-1,2.653876117E1
1.140000000E0,1.753340850E-1,8.939997709E-1,2.533432162E1
1.160000000E0,2.189265037E-1,1.765081553E0,2.181185991E1
1.180000000E0,2.893727532E-1,2.336963281E0,1.534272543E1
1.200000000E0,3.796521187E-1,2.554317912E0,5.776503241E0
1.220000000E0,4.759748286E-1,2.416780230E0,-5.471264782E0
1.240000000E0,5.626819034E-1,1.980070535E0,-1.619087883E1
1.260000000E0,6.283745862E-1,1.326011044E0,-2.457503300E1
1.280000000E0,6.651737445E-1,5.311202883E-1,-2.923471823E1
1.300000000E0,6.681182551E-1,-3.265011404E-1,-2.930544899E1
1.320000000E0,6.359382465E-1,-1.159259665E0,-2.467076971E1
1.340000000E0,5.724379232E-1,-1.869193694E0,-1.617137729E1
1.360000000E0,4.871685117E-1,-2.356608725E0,-5.580922626E0
1.380000000E0,3.944506448E-1,-2.537530190E0,4.780596260E0
1.400000000E0,3.100117675E-1,-2.371818123E0,1.281232081E1
1.420000000E0,2.447192585E-1,-1.881805176E0,1.774732884E1
1.440000000E0,2.026344180E-1,-1.146936329E0,2.019386356E1
1.460000000E0,1.839822147E-1,-2.872508035E-1,2.111683550E1
1.480000000E0,1.890685973E-1,5.717593482E-1,2.077411746E1
1.500000000E0,2.182089403E-1,1.308973763E0,1.871614385E1
1.520000000E0,2.701319109E-1,1.824882500E0,1.423461835E1
1.540000000E0,3.397772811E-1,2.075072151E0,7.152501258E0
1.560000000E0,4.180790068E-1,2.058742319E0,-1.748363326E0
1.580000000E0,4.930804342E-1,1.793898444E0,-1.080581430E1
1.600000000E0,5.538636957E-1,1.320425487E0,-1.831110084E1
1.620000000E0,5.928396438E-1,6.937924192E-1,-2.306213639E1
1.640000000E0,6.053074701E-1,-1.792722981E-2,-2.435259413E1
1.660000000E0,5.888350288E-1,-7.392323621E-1,-2.187637898E1
1.680000000E0,5.446189072E-1,-1.384416258E0,-1.597364370E1
1.700000000E0,4.791065292E-1,-1.864857190E0,-7.846702936E0
1.720000000E0,4.035725123E-1,-2.106350923E0,6.666560587E-1
1.740000000E0,3.311026093E-1,-2.072737752E0,7.733393322E0
1.760000000E0,2.722634827E-1,-1.783134041E0,1.226123402E1
1.780000000E0,2.316801236E-1,-1.301077283E0,1.435500491E1
1.800000000E0,2.079274611E-1,-7.070100097E-1,1.512237704E1
1.820000000E0,1.997847960E-1,-8.248268124E-2,1.521690525E1
1.840000000E0,2.080466775E-1,4.876456279E-1,1.438628702E1
1.860000000E0,2.337454673E-1,9.322704893E-1,1.188803624E1
1.880000000E0,2.750294215E-1,1.208571864E0,7.354693185E0
1.900000000E0,3.254079566E-1,1.295924599E0,1.372657562E0
1.920000000E0,3.756220280E-1,1.199544442E0,-4.795077168E0
1.940000000E0,4.181049254E-1,9.479620457E-1,-1.007656789E1
1.960000000E0,4.477950281E-1,5.800006709E-1,-1.375172256E1
1.980000000E0,4.617154219E-1,1.417152684E-1,-1.539660641E1
2.000000000E0,4.578705124E-1,-3.196102070E-1,-1.472896664E1
2.020000000E0,4.359412611E-1,-7.521613752E-1,-1.177383243E1
2.040000000E0,3.985036626E-1,-1.100108648E0,-7.043369370E0
2.060000000E0,3.513294962E-1,-1.310912626E0,-1.496880763E0
2.080000000E0,3.025122969E-1,-1.349176953E0,3.672118516E0
2.100000000E0,2.602187902E-1,-1.209830479E0,7.445585787E0
2.120000000E0,2.298143532E-1,-9.195650885E-1,9.442502896E0
2.140000000E0,2.124342949E-1,-5.351591205E-1,1.005037811E1
2.160000000E0,2.063015627E-1,-1.309994152E-1,9.959926565E0
2.180000000E0,2.105470758E-1,2.346907882E-1,9.292246758E0
2.200000000E0,2.251918260E-1,5.270099018E-1,7.730543009E0
2.220000000E0,2.495418495E-1,7.225901417E-1,5.000670557E0
2.240000000E0,2.800866173E-1,8.042532790E-1,1.390930186E0
2.260000000E0,3.117639766E-1,7.679538575E-1,-2.468106902E0
2.280000000E0,3.395021249E-1,6.234024825E-1,-5.884612217E0
2.300000000E0,3.596356688E-1,3.953859529E-1,-8.371736221E0
2.320000000E0,3.698006347E-1,1.165895195E-1,-9.609278323E0
2.340000000E0,3.685019339E-1,-1.791154620E-1,-9.382485033E0
2.360000000E0,3.555789636E-1,-4.564166482E-1,-7.693254088E0
2.380000000E0,3.327330255E-1,-6.795247201E-1,-4.843798181E0
2.400000000E0,3.036242329E-1,-8.173508304E-1,-1.428547474E0
2.420000000E0,2.731991143E-1,-8.512186437E-1,1.813983983E0
2.440000000E0,2.463356846E-1,-7.799657489E-1,4.249890035E0
2.460000000E0,2.261803086E-1,-6.202803067E-1,5.633785916E0
2.480000000E0,2.137660945E-1,-4.055431953E-1,6.095591293E0
2.500000000E0,2.084861766E-1,-1.751855992E-1,5.952656307E0
2.520000000E0,2.096507505E-1,4.080719896E-2,5.367679875E0
2.540000000E0,2.166606087E-1,2.219944984E-1,4.359678674E0
2.560000000E0,2.287123202E-1,3.501112334E-1,2.902151656E0
2.580000000E0,2.443370215E-1,4.111665040E-1,1.038072146E0
2.600000000E0,2.609628585E-1,4.021013745E-1,-9.746106693E-1
2.620000000E0,2.757108492E-1,3.308599117E-1,-2.778642544E0
2.640000000E0,2.865232788E-1,2.148048588E-1,-4.114554284E0
2.660000000E0,2.921777467E-1,7.323896133E-2,-4.819580357E0
2.680000000E0,2.920558897E-1,-7.604007135E-2,-4.799052831E0
2.700000000E0,2.862025007E-1,-2.162705952E-1,-4.058944852E0
2.720000000E0,2.754117242E-1,-3.310619033E-1,-2.728115399E0
2.740000000E0,2.611552483E-1,-4.054643147E-1,-1.037381702E0
2.760000000E0,2.452201690E-1,-4.248890092E-1,7.798229767E-1
2.780000000E0,2.298896256E-1,-3.792317520E-1,2.469349875E0
2.800000000E0,2.177763486E-1,-2.735554974E-1,3.744370703E0
2.820000000E0,2.108072196E-1,-1.276412582E-1,4.419037843E0
2.840000000E0,2.097705587E-1,3.307016282E-2,4.448308528E0
2.860000000E0,2.143872826E-1,1.838558532E-1,3.901326253E0
2.880000000E0,2.235822310E-1,3.029881263E-1,2.912203578E0
2.900000000E0,2.359362268E-1,3.747654495E-1,1.604081369E0
2.920000000E0,2.499390352E-1,3.944615639E-1,8.682384446E-2
2.940000000E0,2.640860869E-1,3.647263714E-1,-1.507186907E0
2.960000000E0,2.766257599E-1,2.886703232E-1,-2.964128799E0
2.980000000E0,2.856995649E-1,1.743438945E-1,-4.032834256E0
3.000000000E0,2.898234863E-1,3.587242094E-2,-4.507585944E0
3.020000000E0,2.882065101E-1,-1.086317565E-1,-4.278132418E0
3.040000000E0,2.811187480E-1,-2.394853626E-1,-3.398185579E0
3.060000000E0,2.698375091E-1,-3.390357226E-1,-2.072550321E0
3.080000000E0,2.562014295E-1,-3.931932619E-1,-5.651567891E-1
3.100000000E0,2.421295424E-1,-3.935818892E-1,9.044826188E-1
3.120000000E0,2.293068597E-1,-3.421702693E-1,2.192029115E0
3.140000000E0,2.190692904E-1,-2.485166543E-1,3.204388694E0
3.160000000E0,2.127334678E-1,-1.245850175E-1,3.809489300E0
3.180000000E0,2.111775450E-1,1.346649476E-2,3.915065308E0
3.200000000E0,2.143930898E-1,1.467525428E-1,3.544200188E0
3.220000000E0,2.218662500E-1,2.564322648E-1,2.744862834E0
3.240000000E0,2.326163432E-1,3.279430369E-1,1.590409851E0
3.260000000E0,2.452907226E-1,3.543500167E-1,1.974615461E-1
3.280000000E0,2.581299985E-1,3.333579894E-1,-1.233172097E0
3.300000000E0,2.694511615E-1,2.677482179E-1,-2.513702239E0
3.320000000E0,2.777798068E-1,1.664233770E-1,-3.475567461E0
3.340000000E0,2.819401600E-1,4.228413981E-2,-3.971536610E0
3.360000000E0,2.811211613E-1,-8.814434463E-2,-3.880247598E0
3.380000000E0,2.752882726E-1,-2.063141109E-1,-3.183069639E0
3.400000000E0,2.654587519E-1,-2.961556579E-1,-2.028224520E0
3.420000000E0,2.532296530E-1,-3.448639088E-1,-6.352731769E-1
3.440000000E0,2.403842497E-1,-3.459407531E-1,7.821691709E-1
3.460000000E0,2.285280684E-1,-3.006485339E-1,2.063024830E0
3.480000000E0,2.192483176E-1,-2.151391068E-1,3.035662098E0
3.500000000E0,2.137387074E-1,-1.010944967E-1,3.583843742E0
3.520000000E0,2.126574710E-1,2.598480459E-2,3.655015744E0
3.540000000E0,2.160247833E-1,1.485621752E-1,3.268937809E0
3.560000000E0,2.234821099E-1,2.478593351E-1,2.447813692E0
3.580000000E0,2.340922170E-1,3.094568806E-1,1.261280588E0
3.600000000E0,2.462034558E-1,3.276089746E-1,-1.007510161E-1
3.620000000E0,2.579394588E-1,3.011989927E-1,-1.404110426E0
3.640000000E0,2.677209612E-1,2.348174287E-1,-2.471173477E0
3.660000000E0,2.744716024E-1,1.389190265E-1,-3.201525996E0
3.680000000E0,2.773861598E-1,2.643689257E-2,-3.505162562E0
3.700000000E0,2.761050606E-1,-8.801862706E-2,-3.337173058E0
3.720000000E0,2.707082870E-1,-1.903806974E-1,-2.698038065E0
3.740000000E0,2.619059762E-1,-2.675963849E-1,-1.680638612E0
3.760000000E0,2.509805184E-1,-3.076442197E-1,-4.490345842E-1
3.780000000E0,2.395338387E-1,-3.046082991E-1,8.115802687E-1
3.800000000E0,2.291713920E-1,-2.598989691E-1,1.925715644E0
3.820000000E0,2.213661973E-1,-1.805113254E-1,2.729241768E0
3.840000000E0,2.170803675E-1,-7.835467756E-2,3.132457788E0
3.860000000E0,2.166028965E-1,3.218243390E-2,3.138592546E0
3.880000000E0,2.197977976E-1,1.361960657E-1,2.781937199E0
3.900000000E0,2.262520071E-1,2.198246574E-1,2.093849600E0
3.920000000E0,2.353042248E-1,2.739781308E-1,1.113652243E0
3.940000000E0,2.458019036E-1,2.928888486E-1,-3.486072923E-2
3.960000000E0,2.562548831E-1,2.720423144E-1,-1.175805499E0
3.980000000E0,2.652666792E-1,2.131998046E-1,-2.165724035E0
4.000000000E0,2.716044407E-1,1.260028049E-1,-2.870677923E0
4.020000000E0,2.742855064E-1,2.356456178E-2,-3.160089239E0
4.040000000E0,2.729755606E-1,-7.959552419E-2,-2.986753498E0
4.060000000E0,2.679820536E-1,-1.698940019E-1,-2.390644482E0
4.080000000E0,2.601418681E-1,-2.359556780E-1,-1.483297130E0
4.100000000E0,2.505929650E-1,-2.693683739E-1,-4.026940900E-1
4.120000000E0,2.405956654E-1,-2.663684121E-1,7.110833205E-1
4.140000000E0,2.314520164E-1,-2.277401431E-1,1.712919564E0
4.160000000E0,2.243633564E-1,-1.580145725E-1,2.472892157E0
4.180000000E0,2.202940518E-1,-6.541897869E-2,2.896405686E0
4.200000000E0,2.197997488E-1,3.727581643E-2,2.938611572E0
4.220000000E0,2.230299941E-1,1.343112973E-1,2.580801629E0
4.240000000E0,2.295377536E-1,2.112275121E-1,1.864332143E0
4.260000000E0,2.383677103E-1,2.584133329E-1,8.907468792E-1
4.280000000E0,2.481345539E-1,2.702195642E-1,-1.718893637E-1
4.300000000E0,2.574659538E-1,2.457884729E-1,-1.171194770E0
4.320000000E0,2.652720085E-1,1.902446477E-1,-2.004305632E0
4.340000000E0,2.707422425E-1,1.122466126E-1,-2.595241837E0
4.360000000E0,2.731023667E-1,2.138961109E-2,-2.838857703E0
4.380000000E0,2.719398311E-1,-7.084348033E-2,-2.672563567E0
4.400000000E0,2.674652473E-1,-1.526488674E-1,-2.129203631E0
4.420000000E0,2.603841057E-1,-2.133171194E-1,-1.306983739E0
4.440000000E0,2.517659207E-1,-2.448638828E-1,-3.429221379E-1
4.460000000E0,2.427461561E-1,-2.430913964E-1,6.397251436E-1
4.480000000E0,2.345636052E-1,-2.081521668E-1,1.505780959E0
4.500000000E0,2.283242080E-1,-1.452016382E-1,2.142461307E0
4.520000000E0,2.247971505E-1,-6.374276857E-2,2.481476604E0
4.540000000E0,2.242668107E-1,2.427974996E-2,2.514665756E0
4.560000000E0,2.267732424E-1,1.067412894E-1,2.234044429E0
4.580000000E0,2.320313772E-1,1.734215631E-1,1.654394075E0
4.600000000E0,2.393292524E-1,2.162175684E-1,8.484193128E-1
4.620000000E0,2.476128215E-1,2.290439639E-1,-6.339818977E-2
4.640000000E0,2.557351249E-1,2.104072695E-1,-9.553596134E-1
4.660000000E0,2.626654501E-1,1.641522260E-1,-1.720312442E0
4.680000000E0,2.674655524E-1,9.729611974E-2,-2.246250171E0
4.700000000E0,2.694881582E-1,1.926672145E-2,-2.451286180E0
4.720000000E0,2.684539486E-1,-6.001675378E-2,-2.297725408E0
4.740000000E0,2.645753659E-1,-1.304343734E-1,-1.820801732E0
4.760000000E0,2.584929508E-1,-1.823570676E-1,-1.110672373E0
4.780000000E0,2.511162765E-1,-2.088182282E-1,-2.814213546E-1
4.800000000E0,2.434230552E-1,-2.063032629E-1,5.612986884E-1
4.820000000E0,2.364391741E-1,-1.755768843E-1,1.309413380E0
4.840000000E0,2.311051929E-1,-1.212559625E-1,1.865323237E0
4.860000000E0,2.280855855E-1,-5.088469391E-2,2.168954971E0
4.880000000E0,2.277582879E-1,2.567401495E-2,2.186760715E0
4.900000000E0,2.301454733E-1,9.721993769E-2,1.915826989E0
4.920000000E0,2.348996469E-1,1.542832452E-1,1.388982754E0
4.940000000E0,2.412869189E-1,1.897511978E-1,6.910079101E-1
4.960000000E0,2.484536789E-1,1.989345085E-1,-9.083255784E-2
4.980000000E0,2.554758207E-1,1.813600274E-1,-8.621958061E-1
5.000000000E0,2.614673793E-1,1.402996212E-1,-1.528488478E0
5.020000000E0,2.655646610E-1,8.146640780E-2,-1.980227864E0
5.040000000E0,2.671810699E-1,1.289910752E-2,-2.140945959E0
5.060000000E0,2.661167608E-1,-5.629859260E-2,-1.987439127E0
5.080000000E0,2.625891931E-1,-1.168165793E-1,-1.554533866E0
5.100000000E0,2.571756552E-1,-1.602680102E-1,-9.198666970E-1
5.120000000E0,2.506593881E-1,-1.807724572E-1,-1.767800644E-1
5.140000000E0,2.439651885E-1,-1.757770625E-1,5.681032532E-1
5.160000000E0,2.379682176E-1,-1.462828137E-1,1.224816802E0
5.180000000E0,2.335058242E-1,-9.619880858E-2,1.704046082E0
5.200000000E0,2.311535338E-1,-3.240243735E-2,1.953680607E0
5.220000000E0,2.312344582E-1,3.578585086E-2,1.942844402E0
5.240000000E0,2.337423042E-1,9.841844450E-2,1.669447624E0
5.260000000E0,2.383385942E-1,1.470911828E-1,1.165020860E0
5.280000000E0,2.443420085E-1,1.751169632E-1,5.063854795E-1
5.300000000E0,2.509359870E-1,1.784325440E-1,-2.224611380E-1
5.320000000E0,2.572347201E-1,1.575051686E-1,-9.275259877E-1
5.340000000E0,2.623654308E-1,1.160424637E-1,-1.504735538E0
5.360000000E0,2.656228820E-1,5.990156700E-2,-1.866402099E0
5.380000000E0,2.665572097E-1,-3.434116651E-3,-1.954601317E0
5.400000000E0,2.650751852E-1,-6.567824965E-2,-1.761513551E0
5.420000000E0,2.614134065E-1,-1.183936553E-1,-1.321520991E0
5.440000000E0,2.560561110E-1,-1.532586289E-1,-6.886717347E-1
5.460000000E0,2.498246399E-1,-1.654422342E-1,3.821307051E-2
5.480000000E0,2.437222536E-1,-1.541708554E-1,7.301638623E-1
5.500000000E0,2.386319341E-1,-1.217132479E-1,1.283628774E0
5.520000000E0,2.352169406E-1,-7.292177090E-2,1.630939175E0
5.540000000E0,2.338249535E-1,-1.471789743E-2,1.750815381E0
5.560000000E0,2.345812554E-1,4.426339633E-2,1.639253681E0
5.580000000E0,2.373876436E-1,9.535039237E-2,1.303219811E0
5.600000000E0,2.417884537E-1,1.319916627E-1,7.967734746E-1
5.620000000E0,2.471328682E-1,1.493484085E-1,1.956129238E-1
5.640000000E0,2.526782777E-1,1.452544734E-1,-4.219687147E-1
5.660000000E0,2.576969663E-1,1.212539629E-1,-9.825897803E-1
5.680000000E0,2.614496069E-1,8.103059165E-2,-1.396308000E0
5.700000000E0,2.634167864E-1,3.030538367E-2,-1.601959094E0
5.720000000E0,2.633898796E-1,-2.392009056E-2,-1.580949589E0
5.740000000E0,2.614716938E-1,-7.449897862E-2,-1.356454849E0
5.760000000E0,2.579534072E-1,-1.146478511E-1,-9.656899628E-1
5.780000000E0,2.532993487E-1,-1.394384882E-1,-4.583057059E-1
5.800000000E0,2.480329507E-1,-1.463666323E-1,1.166052743E-1
5.820000000E0,2.428530070E-1,-1.339881103E-1,6.784846885E-1
5.840000000E0,2.385530243E-1,-1.031072760E-1,1.132830465E0
5.860000000E0,2.356704047E-1,-5.814028424E-2,1.432191701E0
5.880000000E0,2.345582655E-1,-5.580670022E-3,1.545789988E0
5.900000000E0,2.353343369E-1,4.677341698E-2,1.462042799E0
5.920000000E0,2.379139603E-1,9.206922968E-2,1.181909206E0
5.940000000E0,2.419511449E-1,1.246866424E-1,7.396789244E-1
5.960000000E0,2.469187374E-1,1.393741574E-1,1.874248490E-1
5.980000000E0,2.521548378E-1,1.336764695E-1,-4.105457234E-1
6.000000000E0,2.568891950E-1,1.094403259E-1,-9.638114887E-1
6.020000000E0,2.603691759E-1,7.044995454E-2,-1.370439445E0
6.040000000E0,2.621038121E-1,2.198885517E-2,-1.567450632E0
6.060000000E0,2.618866854E-1,-2.929310570E-2,-1.532778993E0
6.080000000E0,2.597798276E-1,-7.635132018E-2,-1.278311598E0
6.100000000E0,2.561078277E-1,-1.126250268E-1,-8.470214099E-1
6.120000000E0,2.513876903E-1,-1.333517626E-1,-3.023241108E-1
6.140000000E0,2.463019510E-1,-1.358235579E-1,2.700189020E-1
6.160000000E0,2.415623523E-1,-1.196261503E-1,7.869436157E-1
6.180000000E0,2.378395437E-1,-8.704352521E-2,1.175472511E0
6.200000000E0,2.355970301E-1,-4.280463483E-2,1.395104323E0
6.220000000E0,2.351139867E-1,6.531483005E-3,1.421764651E0
6.240000000E0,2.364045840E-1,5.377759070E-2,1.259414376E0
6.260000000E0,2.392324505E-1,9.267103448E-2,9.382099647E-1
6.280000000E0,2.431409938E-1,1.181270865E-1,5.128336692E-1
6.300000000E0,2.476148082E-1,1.267930494E-1,3.184168601E-2
6.320000000E0,2.521175672E-1,1.184949537E-1,-4.579712979E-1
6.340000000E0,2.560757263E-1,9.531325358E-2,-8.938516201E-1
6.360000000E0,2.588982355E-1,6.010662591E-2,-1.198298517E0
6.380000000E0,2.602091910E-1,1.751584651E-2,-1.327095995E0
6.400000000E0,2.599002664E-1,-2.646266931E-2,-1.274059123E0
6.420000000E0,2.580286755E-1,-6.585494741E-2,-1.045884945E0
6.440000000E0,2.548724680E-1,-9.541918407E-2,-6.751773472E-1
6.460000000E0,2.508759850E-1,-1.112738962E-1,-2.131658658E-1
6.480000000E0,2.466188248E-1,-1.112325221E-1,2.707796149E-1
6.500000000E0,2.426575664E-1,-9.463978200E-2,7.204758632E-1
6.520000000E0,2.395667608E-1,-6.335062350E-2,1.076743894E0
6.540000000E0,2.378522057E-1,-2.232048613E-2,1.280521428E0
6.560000000E0,2.377936211E-1,2.183637596E-2,1.296139071E0
6.580000000E0,2.394080756E-1,6.254348531E-2,1.116813052E0
6.600000000E0,2.424039234E-1,9.432131161E-2,7.794725425E-1
6.620000000E0,2.463151996E-1,1.127705389E-1,3.404489416E-1
6.640000000E0,2.505873829E-1,1.156520367E-1,-1.377576056E-1
6.660000000E0,2.546797512E-1,1.034824605E-1,-5.966680787E-1
6.680000000E0,2.580336150E-1,7.814173153E-2,-9.662412525E-1
6.700000000E0,2.601908453E-1,4.281330079E-2,-1.190497331E0
6.720000000E0,2.608632791E-1,2.181750921E-3,-1.238932135E0
6.740000000E0,2.600087514E-1,-3.811843489E-2,-1.115526035E0
6.760000000E0,2.577346390E-1,-7.220549297E-2,-8.338937851E-1
6.780000000E0,2.543613994E-1,-9.475731021E-2,-4.291594088E-1
6.800000000E0,2.504868992E-1,-1.029569497E-1,2.028517688E-2
6.820000000E0,2.467481492E-1,-9.615012949E-2,4.344207253E-1
6.840000000E0,2.436112498E-1,-7.532909740E-2,7.719360124E-1
6.860000000E0,2.414170916E-1,-4.402149270E-2,1.010497619E0
6.880000000E0,2.404399286E-1,-7.125905674E-3,1.122106490E0
6.900000000E0,2.408672704E-1,3.039566104E-2,1.076825693E0
6.920000000E0,2.426460373E-1,6.352785541E-2,8.775711544E-1
6.940000000E0,2.454988259E-1,8.796559654E-2,5.590235941E-1
6.960000000E0,2.490476898E-1,9.992191493E-2,1.615938030E-1
6.980000000E0,2.528000137E-1,9.782168110E-2,-2.622515001E-1
7.000000000E0,2.562328545E-1,8.237931801E-2,-6.528010593E-1
7.020000000E0,2.588408194E-1,5.550813458E-2,-9.468490806E-1
7.040000000E0,2.602699177E-1,2.066081546E-2,-1.105587524E0
7.060000000E0,2.603367830E-1,-1.724149016E-2,-1.112384220E0
7.080000000E0,2.590377113E-1,-5.284370843E-2,-9.687467376E-1
7.100000000E0,2.565455386E-1,-8.115306874E-2,-6.928888715E-1
7.120000000E0,2.531865903E-1,-9.871647263E-2,-3.199165016E-1
7.140000000E0,2.494223340E-1,-1.034936672E-1,9.457378230E-2
7.160000000E0,2.457923844E-1,-9.403619224E-2,4.865025312E-1
7.180000000E0,2.427678753E-1,-7.110409023E-2,8.119557363E-1
7.200000000E0,2.407154018E-1,-3.858552734E-2,1.039229673E0
7.220000000E0,2.399508610E-1,-1.279154608E-3,1.127127210E0
7.240000000E0,2.406217208E-1,3.582126693E-2,1.051566818E0
