"t","z","v","a"
2.000000000E-2,NaN,NaN,NaN
4.000000000E-2,NaN,NaN,NaN
6.000000000E-2,NaN,NaN,NaN
8.000000000E-2,NaN,NaN,NaN
1.000000000E-1,NaN,NaN,NaN
1.200000000E-1,NaN,NaN,NaN
1.400000000E-1,NaN,NaN,NaN
1.600000000E-1,NaN,NaN,NaN
1.800000000E-1,NaN,NaN,NaN
2.000000000E-1,NaN,NaN,NaN
2.200000000E-1,NaN,NaN,NaN
2.400000000E-1,NaN,NaN,NaN
2.600000000E-1,-6.268539221E-2,8.330438118E-1,-1.326242697E0
2.800000000E-1,+∞,+∞,+∞
3.000000000E-1,4.695610944E-1,-3.676227039E-2,-4.843986062E0
3.200000000E-1,5.368931744E-1,-1.182588110E0,-1.626358015E0
3.400000000E-1,1.041085047E0,-9.310341443E0,2.874039563E1
3.600000000E-1,1.317704782E0,-1.602017453E1,6.214981165E1
3.800000000E-1,1.310336776E0,-1.934792442E1,9.015507564E1
4.000000000E-1,1.047101745E0,-1.787422394E1,1.020661072E2
4.200000000E-1,6.865159931E-1,-1.247341688E1,9.371101551E1
4.400000000E-1,4.091940142E-1,-5.911144802E0,7.207291120E1
4.600000000E-1,2.889382300E-1,-3.135961658E-1,4.597964823E1
4.800000000E-1,3.105194895E-1,3.629025633E0,1.921889939E1
5.000000000E-1,4.313139230E-1,5.773730810E0,-6.447487929E0
5.200000000E-1,5.948171445E-1,6.134959338E0,-2.708007390E1
5.400000000E-1,7.468286698E-1,5.186350561E0,-4.080785881E1
5.600000000E-1,8.565068571E-1,3.550281301E0,-4.837233670E1
5.800000000E-1,9.219832307E-1,1.652305674E0,-5.303992978E1
6.000000000E-1,9.478578245E-1,-3.821138277E-1,-5.694927807E1
6.200000000E-1,9.108065942E-1,-2.129083629E0,-5.369885250E1
6.400000000E-1,8.116708769E-1,-2.936347643E0,-3.767828017E1
6.600000000E-1,6.944584775E-1,-3.324916902E0,-1.835887617E1
6.800000000E-1,5.662608563E-1,-3.679707174E0,-1.577357599E0
7.000000000E-1,4.263220404E-1,-3.813649159E0,1.254709164E1
7.200000000E-1,2.921517559E-1,-3.489581837E0,2.346455351E1
7.400000000E-1,1.883811754E-1,-2.657205428E0,3.018356445E1
7.600000000E-1,1.282789009E-1,-1.455473341E0,3.288494738E1
7.800000000E-1,1.134163292E-1,-9.893799018E-2,3.243424457E1
8.000000000E-1,1.395489356E-1,1.189647975E0,2.964218483E1
8.200000000E-1,2.003299867E-1,2.208771277E0,2.475952950E1
8.400000000E-1,2.874388301E-1,2.841336761E0,1.724072663E1
8.600000000E-1,3.925830385E-1,3.189348945E0,5.569007494E0
8.800000000E-1,5.154662088E-1,3.373211785E0,-1.173829421E1
9.000000000E-1,6.380826415E-1,3.036968591E0,-2.869003115E1
9.200000000E-1,7.115383800E-1,1.955081352E0,-3.559581855E1
9.400000000E-1,7.404650142E-1,7.273627813E-1,-3.692122244E1
