"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.857717084E-1,5.018240586E-2,1.013316400E-2,7.759339362E-2,9.296068849E-2
6.957567084E-1,5.299829319E-2,1.213154756E-3,9.590615332E-2,1.095823027E-1
7.057417083E-1,6.343229115E-2,3.013984300E-3,1.144859642E-1,1.309189660E-1
7.157277083E-1,5.719856918E-2,-6.226360332E-3,1.333035380E-1,1.451904856E-1
7.257127083E-1,5.239289626E-2,-9.086063132E-3,1.465405077E-1,1.558900013E-1
7.356977083E-1,5.627916008E-2,-1.760069840E-2,1.625722498E-1,1.729360137E-1
7.456837083E-1,5.735827610E-2,-2.464981936E-2,1.764648855E-1,1.871829085E-1
7.556687084E-1,5.518255755E-2,-2.530311607E-2,1.861640811E-1,1.958122249E-1
7.656537084E-1,4.182760045E-2,-2.902621590E-2,1.946518421E-1,2.011999230E-1
7.756387084E-1,3.053669818E-2,-3.099670634E-2,1.978078485E-1,2.025369859E-1
7.856247083E-1,2.140498534E-2,-3.188673779E-2,2.022886127E-1,2.059019676E-1
7.956097083E-1,1.482365839E-2,-2.736949734E-2,2.093760520E-1,2.116770214E-1
8.055947083E-1,7.615547627E-3,-3.208436072E-2,2.207504213E-1,2.231998012E-1
8.155797083E-1,2.026903909E-3,-2.861369401E-2,2.357812673E-1,2.375198051E-1
8.255657083E-1,-6.588421762E-3,-2.641125955E-2,2.559086382E-1,2.573522742E-1
8.355507083E-1,-3.721775021E-3,-2.795908600E-2,2.869460881E-1,2.883290127E-1
8.455357084E-1,2.941833436E-2,-2.496596053E-2,3.381810486E-1,3.403750273E-1
8.555217084E-1,8.903313428E-2,-1.767103747E-2,4.048588872E-1,4.149094878E-1
8.655067084E-1,1.525569856E-1,-2.548901178E-2,5.000013709E-1,5.233781563E-1
8.754917083E-1,2.352126688E-1,-5.587648600E-2,6.294950843E-1,6.743228028E-1
8.854767083E-1,2.144197822E-1,-1.374278069E-1,8.274790049E-1,8.657850476E-1
8.954627083E-1,1.875428706E-1,-1.362461895E-1,1.115364432E0,1.139198477E0
9.054477083E-1,2.190597802E-1,6.558546424E-2,1.524983168E0,1.542031875E0
9.154327083E-1,2.082387805E-1,1.574933082E-1,2.008606434E0,2.025504218E0
9.254173334E-1,1.314542592E-1,4.753351957E-2,2.516986609E0,2.520865178E0
9.354033333E-1,-6.993955374E-2,-6.470487267E-2,3.030085325E0,3.031582976E0
9.453883333E-1,-2.328179628E-1,-3.764019581E-3,3.503000975E0,3.510731291E0
9.553733333E-1,-4.360154867E-1,6.500013918E-2,3.921460867E0,3.946161407E0
9.653583333E-1,-6.091510057E-1,1.598102748E-1,4.288658142E0,4.334650266E0
9.753443333E-1,-7.271230221E-1,2.747128606E-1,4.602862358E0,4.668031377E0
9.853293333E-1,-8.043621182E-1,3.449100554E-1,4.857231617E0,4.935449356E0
9.953143334E-1,-8.213043809E-1,3.961215913E-1,5.056935787E0,5.138487400E0
1.005300333E0,-7.717866302E-1,4.195978940E-1,5.198908806E0,5.272605596E0
1.015285333E0,-6.935039163E-1,3.681149781E-1,5.279788017E0,5.337847677E0
1.025270333E0,-5.739301443E-1,2.822788954E-1,5.288593292E0,5.327128325E0
1.035255333E0,-4.296046197E-1,1.634281576E-1,5.230249882E0,5.250407862E0
1.045241333E0,-3.157417178E-1,-1.035357360E-3,5.102865219E0,5.112624311E0
1.055226333E0,-1.911751330E-1,-1.416654587E-1,4.902861595E0,4.908632076E0
1.065211333E0,-1.040567383E-1,-2.612349987E-1,4.629579544E0,4.638111500E0
1.075196333E0,-6.909783185E-2,-3.540565073E-1,4.286196232E0,4.301349632E0
1.085182333E0,-3.380721807E-2,-3.670665920E-1,3.877568960E0,3.895050943E0
1.095167333E0,-4.519985244E-2,-3.203212023E-1,3.410582542E0,3.425889954E0
1.105152333E0,-7.822278142E-2,-2.390311360E-1,2.895339012E0,2.906242021E0
1.115137333E0,-1.023545042E-1,-9.561564773E-2,2.335977077E0,2.340172580E0
1.125123333E0,-1.522996873E-1,7.581443340E-2,1.737141609E0,1.745452375E0
1.135108333E0,-1.820374131E-1,2.271008492E-1,1.120942593E0,1.158112564E0
1.145093333E0,-1.959359199E-1,3.778285980E-1,4.925103188E-1,6.509314467E-1
1.155079333E0,-2.119377255E-1,4.883798957E-1,-1.416660994E-1,5.509099797E-1
1.165064333E0,-1.861721724E-1,5.242883563E-1,-7.677822113E-1,9.481708086E-1
1.175049333E0,-1.527402401E-1,5.189303160E-1,-1.378766775E0,1.481086113E0
1.185034333E0,-9.062014520E-2,4.324718714E-1,-1.964337230E0,2.013421139E0
1.195020333E0,5.434356630E-3,2.972013950E-1,-2.512622118E0,2.530143891E0
1.205005333E0,1.016823277E-1,1.361118257E-1,-3.026164532E0,3.030930137E0
1.214990333E0,2.249628901E-1,-5.004526675E-2,-3.492200851E0,3.499797082E0
1.224975333E0,3.587707281E-1,-2.026654482E-1,-3.909186602E0,3.930843371E0
1.234961333E0,4.613896310E-1,-3.305203021E-1,-4.278861046E0,4.316338253E0
1.244946333E0,5.703014731E-1,-3.973451257E-1,-4.586254120E0,4.638626281E0
1.254931333E0,6.305471659E-1,-3.910518289E-1,-4.840996265E0,4.897525508E0
1.264916333E0,6.405510306E-1,-3.605839312E-1,-5.035362244E0,5.088732585E0
1.274902333E0,6.244519353E-1,-2.575108409E-1,-5.164598465E0,5.208582279E0
1.284887333E0,5.438684225E-1,-1.351367384E-1,-5.236830711E0,5.266730551E0
1.294872333E0,4.314999282E-1,-3.068061359E-2,-5.236939907E0,5.254776216E0
1.304858333E0,2.980909944E-1,8.907508850E-2,-5.166862488E0,5.176220685E0
1.314843333E0,1.447190493E-1,1.669618636E-1,-5.031665325E0,5.036514252E0
1.324828333E0,1.479966938E-2,1.978190988E-1,-4.820441246E0,4.824521244E0
1.334813333E0,-9.268145263E-2,2.126569152E-1,-4.541292191E0,4.547213166E0
1.344799333E0,-1.695410907E-1,1.662028730E-1,-4.190209389E0,4.196930104E0
1.354784333E0,-1.782126725E-1,1.034603864E-1,-3.770699024E0,3.776325587E0
1.364769333E0,-1.502255052E-1,3.305279836E-2,-3.295724154E0,3.299311729E0
