"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.141320007E-1,-5.403762817E-2,-9.834548950E-2,5.737568665E0,5.738665880E0
7.241680007E-1,4.999603271E-2,-1.206491089E-1,5.654042358E0,5.655550442E0
7.342040008E-1,-1.264869690E-1,-4.954696655E-2,6.334976349E0,6.336432687E0
7.442410002E-1,-3.727249146E-2,-6.376739502E-2,5.787864075E0,5.788335345E0
7.542770002E-1,1.881587219E-1,-1.550775146E-1,5.635031891E0,5.640304704E0
7.643130003E-1,-5.134323120E-2,-9.550140381E-2,7.830216980E0,7.830967667E0
7.743500005E-1,-2.874023438E-2,-1.357676697E-1,8.137378235E0,8.138561507E0
7.843860006E-1,1.254391479E-1,-1.824705505E-1,7.278164978E0,7.281532526E0
7.944230000E-1,1.631607056E-1,-2.480342102E-1,7.570207672E0,7.576027098E0
8.044590000E-1,-1.552272034E-1,-2.344125366E-1,9.549541626E0,9.553679395E0
8.144950001E-1,-1.411564636E-1,-1.751358032E-1,1.001237915E1,1.001490559E1
8.245320003E-1,1.112187195E-1,-2.297721863E-1,9.403744812E0,9.407209010E0
8.345680004E-1,1.077758789E-2,-1.437011719E-1,1.019889130E1,1.019990931E1
8.446050007E-1,6.780899048E-2,-1.508862305E-1,1.033870056E1,1.034002389E1
8.546410007E-1,1.347198486E-3,-1.450483704E-1,1.073597443E1,1.073695430E1
8.646770008E-1,1.242416382E-2,-6.676116943E-2,1.145358215E1,1.145378346E1
8.747140002E-1,1.871109009E-1,5.328918457E-2,1.173005722E1,1.173167050E1
8.847500002E-1,7.634124756E-2,4.026626587E-2,1.320119797E1,1.320148011E1
8.947858335E-1,-6.750961304E-2,5.044509888E-2,1.348575623E1,1.348601955E1
9.048228338E-1,4.385879517E-2,6.855743408E-2,1.325882812E1,1.325907791E1
9.148588339E-1,1.383123779E-1,1.782792664E-1,1.306378372E1,1.306573224E1
9.248958332E-1,-6.391708374E-2,1.821711731E-1,1.425380905E1,1.425511642E1
9.349318333E-1,-5.987548828E-4,2.171983337E-1,1.418300629E1,1.418466929E1
9.449678333E-1,3.023712158E-1,2.725831604E-1,1.300720139E1,1.301357053E1
9.550048336E-1,1.517843628E-1,3.141966248E-1,1.375070526E1,1.375513189E1
9.650408337E-1,6.316864014E-2,2.977308655E-1,1.404948395E1,1.405278026E1
9.750778340E-1,-4.326004028E-2,2.468367004E-1,1.472757385E1,1.472970575E1
9.851138340E-1,4.939727783E-3,1.471440125E-1,1.524115585E1,1.524186693E1
9.951498341E-1,1.673519897E-1,1.320254517E-1,1.503787857E1,1.503938926E1
1.005186833E0,1.245410156E-1,1.236428833E-1,1.430889450E1,1.430997064E1
1.015222833E0,-1.945953369E-3,9.684860229E-2,1.440798843E1,1.440831406E1
1.025258834E0,1.212478638E-1,-2.844085693E-3,1.373932892E1,1.373986420E1
1.035295834E0,1.730401611E-1,-2.020797729E-2,1.318173843E1,1.318288965E1
1.045331834E0,-4.296066284E-2,4.340972900E-2,1.386671402E1,1.386684851E1
1.055368833E0,-8.083190918E-3,-4.790039062E-3,1.339908646E1,1.339908975E1
1.065404833E0,1.679507446E-1,-3.697311401E-2,1.225381805E1,1.225502474E1
1.075440833E0,-1.197509766E-3,-3.517684937E-2,1.240066269E1,1.240071264E1
1.085477834E0,-5.134323120E-2,-2.589614868E-2,1.197614548E1,1.197628353E1
1.095513834E0,1.496887207E-4,-4.670288086E-2,1.197090637E1,1.197099748E1
1.105550834E0,8.756790161E-2,-4.116439819E-2,1.151660110E1,1.151700758E1
1.115586834E0,1.939965820E-1,-1.356179810E-1,1.027433441E1,1.027706060E1
1.125622834E0,4.191284180E-2,-9.340576172E-2,9.812694397E0,9.813228452E0
1.135659833E0,-1.517843628E-1,-8.277786255E-2,1.026220963E1,1.026366587E1
1.145695833E0,-6.107299805E-2,-3.981719971E-2,9.385632477E0,9.385915635E0
1.155731834E0,8.517288208E-2,-9.116043091E-2,8.227640533E0,8.228586354E0
1.165768834E0,-2.724334717E-2,-1.248403931E-1,8.232879639E0,8.233871171E0
1.175804834E0,-3.592529297E-2,-1.374142456E-1,7.782915344E0,7.784211235E0
1.185841834E0,1.794767761E-1,-1.465452576E-1,6.326444092E0,6.330685766E0
1.195877833E0,6.197113037E-2,-1.682501221E-1,6.234984283E0,6.237561827E0
1.205913833E0,-4.326004028E-2,-1.106199646E-1,6.776109009E0,6.777149955E0
1.215950834E0,-1.451980591E-2,-1.444496155E-1,6.932833099E0,6.934352984E0
1.225986834E0,3.592529297E-2,-1.508862305E-1,6.574478302E0,6.576307644E0
1.236023834E0,7.619155884E-2,-1.423539734E-1,5.163063354E0,5.165587383E0
1.246059834E0,3.442840576E-2,-1.323248291E-1,5.300028534E0,5.301791927E0
1.256095834E0,-1.100212097E-1,-1.175056458E-1,5.944887543E0,5.947066515E0
1.266132833E0,-1.264869690E-1,-1.619631958E-1,5.922434235E0,5.925998506E0
1.276168833E0,1.059796143E-1,-1.175056458E-1,4.845872955E0,4.848455832E0
1.286205834E0,1.398092651E-1,-4.745132446E-2,4.663402405E0,4.665738982E0
1.296241834E0,-8.532257080E-3,-2.514770508E-2,5.339845734E0,5.339911766E0
1.306277834E0,5.523513794E-2,-2.903961182E-2,5.066963196E0,5.067347457E0
1.316314834E0,6.526428223E-2,-5.388793945E-3,5.395829315E0,5.396226688E0
1.326350833E0,-5.867797852E-2,6.496490479E-2,6.827751617E0,6.828312800E0
1.336386833E0,-9.400451660E-2,1.007405090E-1,7.501350861E0,7.502616226E0
1.346423834E0,-8.831634521E-3,4.730163574E-2,6.590345306E0,6.590520973E0
1.356459834E0,6.002517700E-2,6.960525513E-2,6.357130280E0,6.357794689E0
1.366496834E0,8.711883545E-2,6.945556641E-2,6.718927917E0,6.719851645E0
1.376532834E0,-6.137237549E-3,9.639953613E-2,7.670798492E0,7.671406654E0
1.386568834E0,-8.801696777E-2,1.597178650E-1,8.528065796E0,8.530015416E0
1.396605833E0,1.721420288E-2,1.305285645E-1,8.578211517E0,8.579221810E0
1.406641833E0,1.916015625E-1,2.739303589E-2,8.364605713E0,8.366844702E0
1.416678834E0,4.640350342E-2,5.942642212E-2,9.377100220E0,9.377403335E0
1.426714834E0,-7.813751221E-2,6.496490479E-2,1.047357010E1,1.047406304E1
1.436750834E0,-3.442840576E-2,5.568420410E-2,1.145448029E1,1.145466737E1
1.446787834E0,-3.622467041E-2,4.490661621E-3,1.221774307E1,1.221779760E1
1.456823833E0,1.481918335E-2,-7.544311523E-2,1.201940552E1,1.201965142E1
1.466860834E0,1.077758789E-1,-1.417552185E-1,1.128503265E1,1.128643753E1
1.476896834E0,1.276844788E-1,-1.760339355E-1,1.189591232E1,1.189789987E1
1.486932834E0,1.104702759E-1,-1.519340515E-1,1.254735764E1,1.254876373E1
1.496969834E0,-1.975891113E-2,-1.017883301E-1,1.360011841E1,1.360051367E1
1.507005834E0,-3.787124634E-2,-1.252894592E-1,1.413121399E1,1.413182014E1
1.517041834E0,8.831634521E-2,-5.418731689E-2,1.377989456E1,1.378028411E1
1.527078833E0,2.345622253E-1,-3.038681030E-2,1.331346451E1,1.331556533E1
1.537114833E0,1.010398865E-1,-3.996688843E-2,1.396520920E1,1.396563190E1
1.547151834E0,-2.903961182E-2,-1.137634277E-2,1.516676056E1,1.516679263E1
1.557187834E0,1.080752563E-1,5.089416504E-3,1.502964569E1,1.503003512E1
1.567223834E0,1.481918335E-1,8.457412720E-2,1.453357727E1,1.453457883E1
1.577260834E0,1.080752563E-1,9.490264893E-2,1.379710876E1,1.379785842E1
1.587296833E0,3.382965088E-2,7.933502197E-2,1.437715256E1,1.437741125E1
1.597333834E0,-7.185058594E-3,7.933502197E-2,1.465033447E1,1.465055104E1
1.607369834E0,3.113525391E-2,5.403762817E-2,1.444002182E1,1.444015650E1
1.617405834E0,5.448669434E-2,1.187031555E-1,1.403496414E1,1.403557187E1
1.627442834E0,1.405577087E-1,1.269360352E-1,1.325718155E1,1.325853430E1
1.637478834E0,2.152523804E-1,2.679428101E-2,1.266127075E1,1.266312870E1
1.647515833E0,1.535806274E-1,5.089416504E-2,1.248403931E1,1.248508769E1
1.657551833E0,-4.879852295E-2,1.047821045E-3,1.336211334E1,1.336220249E1
1.667587833E0,-1.134640503E-1,-0.000000000E0,1.374606491E1,1.374653319E1
1.677624834E0,1.005908203E-1,-8.038284302E-2,1.214544342E1,1.214612596E1
1.687660834E0,1.261875916E-1,-4.206253052E-2,1.070453979E1,1.070536617E1
1.697696834E0,2.544708252E-3,3.457809448E-2,1.066187851E1,1.066193488E1
1.707733834E0,-5.149291992E-2,9.939331055E-2,1.075094330E1,1.075152605E1
1.717769833E0,-2.230361938E-2,1.175056458E-1,1.017539017E1,1.017609307E1
1.727806834E0,5.269042969E-2,1.401086426E-1,9.363628235E0,9.364824634E0
1.737842834E0,5.014572144E-2,1.007405090E-1,8.787925415E0,8.788645877E0
1.747878834E0,4.520599365E-2,1.203497314E-1,8.360115051E0,8.361103474E0
1.757915834E0,-2.993774414E-4,1.080752563E-1,8.099057922E0,8.099778983E0
1.767951834E0,2.993774414E-4,5.029541016E-2,7.727530518E0,7.727694198E0
1.777988833E0,-8.936416626E-2,1.496887207E-2,8.176746368E0,8.177248388E0
1.788024833E0,-6.107299805E-2,-1.047821045E-2,7.555987244E0,7.556241323E0
1.798060833E0,1.112187195E-1,-7.634124756E-2,5.864804077E0,5.866355295E0
1.808097834E0,1.321751404E-1,-6.676116943E-2,4.948110352E0,4.950325582E0
1.818133834E0,1.663041687E-1,-1.338217163E-1,5.190306702E0,5.194694311E0
1.828170834E0,-1.309776306E-1,-8.382568359E-2,6.327791290E0,6.329701770E0
1.838206834E0,-7.574249268E-2,-8.143066406E-2,6.167324982E0,6.168327594E0
1.848242833E0,6.586303711E-2,-1.254391479E-1,5.433700562E0,5.435547324E0
1.858279834E0,4.206253052E-2,-7.514373779E-2,5.287604370E0,5.288305571E0
1.868315834E0,5.658233643E-2,-1.772314453E-1,5.263654175E0,5.266941030E0
1.878352834E0,-5.987548828E-3,-2.270777893E-1,5.550457764E0,5.555104100E0
1.888388834E0,2.559677124E-2,-2.570155334E-1,5.852978668E0,5.858674890E0
1.898424834E0,-1.496887207E-4,-2.691403198E-1,6.256689148E0,6.262475200E0
1.908461833E0,-3.502716064E-2,-2.311193848E-1,6.026318207E0,6.030850206E0
1.918497833E0,1.348695374E-1,-3.028202820E-1,5.044809265E0,5.055688918E0
1.928534834E0,-6.002517700E-2,-2.161505127E-1,6.384822693E0,6.388762391E0
1.938570834E0,1.673519897E-1,-2.173480225E-1,6.074368286E0,6.080558932E0
1.948606834E0,-4.460723877E-2,-1.707948303E-1,7.453899536E0,7.455989470E0
1.958643834E0,-1.519340515E-1,-9.325607300E-2,8.367599487E0,8.369498302E0
1.968679834E0,1.017883301E-2,-1.014889526E-1,7.966583405E0,7.967236331E0
1.978715833E0,1.061293030E-1,-6.286926270E-2,7.779173126E0,7.780151059E0
1.988752834E0,1.290316772E-1,-1.047821045E-3,8.082442474E0,8.083472436E0
1.998788834E0,6.286926270E-3,7.394622803E-2,9.307045898E0,9.307341775E0
2.008825834E0,-1.032852173E-2,7.274871826E-2,1.029124924E1,1.029151155E1
2.018861834E0,-3.487747192E-2,5.748046875E-2,1.060409866E1,1.060431181E1
2.028897834E0,-2.619552612E-2,2.110610962E-2,1.053359528E1,1.053364899E1
2.038934833E0,6.915618896E-2,5.897735596E-2,1.056023987E1,1.056063099E1
2.048970833E0,-4.834945679E-2,1.210981750E-1,1.210921875E1,1.210992077E1
2.059007834E0,8.637039185E-2,1.151106262E-1,1.206042023E1,1.206127880E1
2.069043834E0,5.688171387E-2,1.686991882E-1,1.253568192E1,1.253694604E1
2.079079834E0,-1.392105103E-2,1.401086426E-1,1.317200867E1,1.317276116E1
2.089116834E0,1.231938171E-1,1.264869690E-1,1.284104691E1,1.284226076E1
2.099152834E0,1.974394226E-1,1.291813660E-1,1.282503021E1,1.282720040E1
2.109189834E0,1.158590698E-1,8.367599487E-2,1.359098740E1,1.359173879E1
2.119225834E0,-7.634124756E-2,6.676116943E-2,1.512918869E1,1.512952859E1
2.129261834E0,-1.601669312E-2,6.735992432E-2,1.481978210E1,1.481994384E1
2.139298834E0,1.082249451E-1,2.724334717E-2,1.389231079E1,1.389275905E1
2.149334834E0,1.399589539E-1,3.832031250E-2,1.351943619E1,1.352021493E1
2.159371833E0,2.032772827E-1,-1.826202393E-2,1.403990387E1,1.404138725E1
2.169407833E0,5.224136353E-2,8.262817383E-2,1.472802292E1,1.472834735E1
2.179443833E0,1.011895752E-1,1.166075134E-1,1.451381836E1,1.451463951E1
2.189480834E0,7.499404907E-2,1.703457642E-1,1.435365143E1,1.435485810E1
2.199516834E0,4.640350342E-3,1.841171265E-1,1.436427933E1,1.436546001E1
2.209552834E0,9.505233765E-2,1.311273193E-1,1.376238098E1,1.376333388E1
2.219589834E0,1.013392639E-1,6.152206421E-2,1.348201401E1,1.348253523E1
2.229625834E0,3.517684937E-2,5.254074097E-2,1.376118347E1,1.376132873E1
2.239662834E0,-1.616638184E-2,-4.460723877E-2,1.367930374E1,1.367938602E1
2.249698834E0,1.425036621E-1,-9.744735718E-2,1.201551361E1,1.201675375E1
2.259734834E0,1.703457642E-1,-1.878593445E-1,1.122081619E1,1.122368143E1
2.269771834E0,2.230361938E-2,-1.004411316E-1,1.195997910E1,1.196042164E1
2.279807834E0,1.242416382E-2,-1.257385254E-1,1.193887299E1,1.193954156E1
2.289844833E0,-7.858657837E-2,-1.571731567E-1,1.178110107E1,1.178241154E1
2.299880833E0,4.086502075E-2,-1.505868530E-1,1.061128372E1,1.061243085E1
2.309916833E0,9.340576172E-2,-1.100212097E-1,9.677375793E0,9.678451919E0
2.319953834E0,1.167572021E-2,-1.122665405E-1,9.469907227E0,9.470579865E0
2.329989834E0,4.490661621E-2,-9.699829102E-2,8.925489349E0,8.926129363E0
2.340026834E0,1.377136230E-2,-1.224453735E-1,8.759634247E0,8.760500822E0
2.350062834E0,-1.047821045E-2,-1.531315613E-1,8.639284515E0,8.640647893E0
2.360098834E0,-9.220825195E-2,-1.133143616E-1,8.045319672E0,8.046645955E0
2.370135834E0,4.550537109E-2,-1.130149841E-1,6.691534882E0,6.692643887E0
2.380171834E0,8.607101440E-2,-8.936416626E-2,6.341862030E0,6.343075609E0
2.390208834E0,-3.233276367E-2,-4.445755005E-2,7.098987579E0,7.099200415E0
2.400244834E0,9.879455566E-3,1.332229614E-2,6.400689697E0,6.400711186E0
2.410280834E0,-1.062789917E-2,7.334747314E-2,6.051316223E0,6.051770058E0
2.420317833E0,4.131408691E-2,7.454498291E-2,5.427263947E0,5.427933101E0
2.430353833E0,1.338217163E-1,2.469863892E-2,4.862937469E0,4.864841118E0
2.440390834E0,1.661544800E-2,6.825805664E-2,5.256469116E0,5.256938539E0
2.450426834E0,-1.257385254E-2,1.751358032E-2,5.644013214E0,5.644054393E0
2.460462834E0,-2.664459229E-2,6.721023560E-2,5.958808594E0,5.959247185E0
2.470499834E0,2.005828857E-2,8.232879639E-3,5.512137451E0,5.512180095E0
2.480535834E0,-4.550537109E-2,9.131011963E-3,5.442083130E0,5.442281039E0
2.490572833E0,6.436614990E-3,-3.981719971E-2,5.376818848E0,5.376970128E0
2.500608834E0,1.395098877E-1,-7.529342651E-2,5.643414459E0,5.645640696E0
2.510644834E0,3.143463135E-2,-1.901046753E-2,6.169121246E0,6.169230624E0
2.520681834E0,1.197509766E-2,-3.742218018E-3,6.516099701E0,6.516111779E0
2.530717834E0,2.439926147E-2,-4.595443726E-2,6.654711456E0,6.654914853E0
2.540754833E0,-5.538482666E-3,2.844085693E-3,7.019652557E0,7.019655318E0
2.550790833E0,4.086502075E-2,-3.293151855E-3,7.245383148E0,7.245499138E0
2.560826833E0,3.996688843E-2,1.661544800E-2,7.764503632E0,7.764624271E0
