"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678347183431686E9,"2023-03-09 08:33:03.432 UTC+01:00"
"PAUSE",6.675288820837159E1,1.678347250183992E9,"2023-03-09 08:34:10.184 UTC+01:00"
