"t","z"
3.223228833E0,2.164856383E-1
3.239898875E0,2.165928643E-1
3.256570666E0,2.491581045E-1
3.273243041E0,2.504941634E-1
3.289917375E0,2.709764208E-1
3.306594250E0,2.753665648E-1
3.323261041E0,2.871531502E-1
3.339931625E0,2.891137988E-1
3.356608708E0,2.914809074E-1
3.373276208E0,2.925585968E-1
3.389950583E0,2.664543815E-1
3.406620208E0,2.626466717E-1
3.423294041E0,2.479312127E-1
3.439964958E0,2.473606640E-1
3.456639958E0,2.193097407E-1
3.473309083E0,2.192417035E-1
3.489982833E0,2.064625287E-1
3.506653958E0,2.059448963E-1
3.523327000E0,2.096641645E-1
3.539998291E0,2.189063918E-1
3.556671375E0,2.181391271E-1
3.573341583E0,2.188926136E-1
3.590017291E0,2.426257586E-1
3.606686041E0,2.464005502E-1
3.623360500E0,2.642754411E-1
3.640029958E0,2.679480309E-1
3.656705875E0,2.823707091E-1
3.673374750E0,2.836944136E-1
3.690047625E0,2.893156309E-1
3.706718541E0,2.886112115E-1
3.723392375E0,2.663799832E-1
3.740063083E0,2.531278231E-1
3.756737583E0,2.524497612E-1
3.773407583E0,2.526740411E-1
3.790081625E0,2.261783852E-1
3.806751625E0,2.246839869E-1
3.823426333E0,2.132954819E-1
3.840096500E0,2.129113121E-1
3.856769875E0,2.128094936E-1
3.873441083E0,2.133021809E-1
3.890113958E0,2.206907283E-1
3.906784625E0,2.201076634E-1
3.923459041E0,2.404341864E-1
3.940128875E0,2.441648315E-1
3.956803041E0,2.597446036E-1
3.973473291E0,2.606510857E-1
3.990147166E0,2.740029958E-1
4.006817208E0,2.753032118E-1
4.023492208E0,2.831515015E-1
4.040163000E0,2.839106513E-1
4.056834041E0,2.686113473E-1
4.073505708E0,2.666989198E-1
4.090180958E0,2.551085911E-1
4.106849625E0,2.554130115E-1
4.123523458E0,2.331810522E-1
4.140194250E0,2.200162845E-1
4.156868416E0,2.193418924E-1
4.173539083E0,2.189309067E-1
4.190212416E0,2.183520353E-1
4.206883208E0,2.180613171E-1
4.223556458E0,2.229024134E-1
4.240226875E0,2.219715107E-1
4.256901750E0,2.374439458E-1
4.273573125E0,2.403967433E-1
4.290247958E0,2.556304076E-1
4.306915750E0,2.582385935E-1
4.323589541E0,2.706720508E-1
4.340260041E0,2.791069081E-1
4.356932416E0,2.821440329E-1
4.373604208E0,2.812129523E-1
4.390278125E0,2.676551467E-1
4.406949333E0,2.671724623E-1
4.423623375E0,2.581483954E-1
4.440292708E0,2.577064744E-1
4.456966583E0,2.378207246E-1
4.473637208E0,2.370179626E-1
4.490311291E0,2.238962697E-1
4.506981666E0,2.238345789E-1
4.523656083E0,2.216499429E-1
4.540325958E0,2.238661000E-1
4.557000458E0,2.238028969E-1
4.573672666E0,2.237859734E-1
4.590344000E0,2.343838956E-1
4.607014375E0,2.363651290E-1
4.623692458E0,2.532010405E-1
4.640358875E0,2.547713856E-1
4.657031750E0,2.671277493E-1
4.673702708E0,2.683419586E-1
4.690376583E0,2.753524461E-1
4.707047083E0,2.769803363E-1
4.723724083E0,2.685264465E-1
4.740391250E0,2.686737834E-1
4.757065291E0,2.598217614E-1
4.773735875E0,2.586036226E-1
4.790409708E0,2.403752517E-1
4.807079708E0,2.396043754E-1
4.823753250E0,2.303183218E-1
4.840424083E0,2.293917626E-1
4.857098750E0,2.264330632E-1
4.873769500E0,2.265627243E-1
4.890442250E0,2.256593505E-1
4.907112791E0,2.267906317E-1
4.923787541E0,2.350328764E-1
4.940456291E0,2.354092347E-1
4.957130625E0,2.512240716E-1
4.973803250E0,2.516418684E-1
4.990475000E0,2.627261314E-1
5.007144875E0,2.640241140E-1
5.023819166E0,2.725541722E-1
5.040492875E0,2.735041498E-1
5.057162458E0,2.677596917E-1
5.073833625E0,2.670105572E-1
5.090506250E0,2.612246099E-1
5.107178083E0,2.603531623E-1
5.123854125E0,2.433938323E-1
5.140522500E0,2.436499106E-1
5.157195916E0,2.340924196E-1
5.173867666E0,2.332409142E-1
5.190542541E0,2.294293867E-1
5.207211375E0,2.296410301E-1
5.223886250E0,2.294006827E-1
5.240558250E0,2.292511891E-1
5.257228875E0,2.368405497E-1
5.273899791E0,2.380121544E-1
5.290573916E0,2.498841461E-1
5.307244333E0,2.502318799E-1
5.323917958E0,2.622283017E-1
5.340587666E0,2.631380724E-1
5.357263291E0,2.713463280E-1
5.373932041E0,2.723870468E-1
5.390605125E0,2.686222258E-1
5.407276583E0,2.667529351E-1
5.423951125E0,2.615039445E-1
5.440622708E0,2.610392508E-1
5.457294833E0,2.449393652E-1
5.473965333E0,2.447606256E-1
5.490639791E0,2.374785688E-1
5.507309875E0,2.369211481E-1
5.523982833E0,2.312411753E-1
5.540653583E0,2.316613009E-1
5.557327500E0,2.317622421E-1
5.573998041E0,2.305769959E-1
5.590672250E0,2.373319306E-1
5.607342208E0,2.488806504E-1
5.624021166E0,2.488289621E-1
5.640686625E0,2.487345715E-1
5.657360541E0,2.598796527E-1
5.674036208E0,2.597093962E-1
5.690705500E0,2.682016991E-1
5.707376291E0,2.687521820E-1
5.724049791E0,2.666318584E-1
5.740719166E0,2.605877882E-1
5.757392666E0,2.597247435E-1
5.774064666E0,2.601344631E-1
5.790737333E0,2.461299356E-1
5.807407375E0,2.454874848E-1
5.824081750E0,2.387237401E-1
5.840752125E0,2.390204283E-1
5.857425416E0,2.336604114E-1
5.874096958E0,2.336675540E-1
5.890770583E0,2.321153210E-1
5.907440958E0,2.319391118E-1
5.924130875E0,2.388388333E-1
5.940785166E0,2.389149479E-1
5.957457500E0,2.469983073E-1
5.974129583E0,2.476315891E-1
5.990803708E0,2.576723667E-1
6.007473625E0,2.584311469E-1
6.024145916E0,2.656777947E-1
6.040817958E0,2.664304004E-1
6.057491041E0,2.641542797E-1
6.074162458E0,2.637893677E-1
6.090833916E0,2.597738952E-1
6.107506666E0,2.596684918E-1
6.124179291E0,2.466582002E-1
6.140850750E0,2.408024401E-1
6.157524125E0,2.403313570E-1
6.174194166E0,2.401322830E-1
6.190869458E0,2.342150367E-1
6.207539166E0,2.327393550E-1
6.224212875E0,2.337065820E-1
6.240882958E0,2.335729618E-1
6.257557625E0,2.391104722E-1
6.274228208E0,2.392714428E-1
6.290902458E0,2.466416981E-1
6.307572291E0,2.467719707E-1
6.324245958E0,2.555604683E-1
6.340916291E0,2.558812639E-1
6.357588458E0,2.627948609E-1
6.374260541E0,2.628541139E-1
6.390934333E0,2.619429574E-1
6.407604416E0,2.615094959E-1
6.424278208E0,2.590849489E-1
6.440948583E0,2.591367074E-1
6.457623291E0,2.479312977E-1
6.474292583E0,2.473428410E-1
6.490967541E0,2.415935818E-1
6.507638208E0,2.424961777E-1
6.524307875E0,2.373988309E-1
