"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.945809167E-1,7.567179389E-3,-2.040260937E-3,-9.771426208E-3,1.252619810E-2
6.045649166E-1,8.267590776E-3,-3.518847981E-3,-6.113042124E-3,1.086759552E-2
6.145499166E-1,1.200992335E-2,-3.368491307E-4,-2.409675857E-3,1.225390811E-2
6.245349166E-1,1.245147549E-2,2.610737458E-3,-1.674653776E-2,2.103097047E-2
6.345189166E-1,1.693950407E-2,-3.099097405E-3,-2.009784989E-2,2.646648396E-2
6.445039166E-1,2.685711533E-2,-1.213946380E-2,-1.909783296E-2,3.511977291E-2
6.544879166E-1,4.060894996E-2,-1.862987131E-2,-6.384426728E-3,4.513224819E-2
6.644729166E-1,5.582758412E-2,-3.035656735E-2,8.078668267E-3,6.405860762E-2
6.744569166E-1,4.762927070E-2,-2.752775140E-2,2.477681823E-2,6.033419633E-2
6.844419166E-1,-1.036204323E-1,6.354383379E-2,2.883068100E-2,1.249248613E-1
6.944259166E-1,-1.782436520E-1,-5.595860537E-3,6.895595044E-2,1.911989441E-1
7.044109167E-1,-1.507084221E-1,-2.573867887E-2,1.128658801E-1,1.900374041E-1
7.143949167E-1,-2.236106992E-1,4.087153822E-3,9.020622820E-2,2.411547495E-1
7.243799167E-1,-3.614735007E-1,1.583835296E-2,2.151558362E-2,3.624594674E-1
7.343639167E-1,-4.015746117E-1,7.003320381E-3,-4.697313160E-2,4.043732067E-1
7.443489167E-1,-4.519592226E-1,-9.898165241E-3,-7.652916014E-2,4.584995364E-1
7.543329166E-1,-5.670964122E-1,2.691577002E-2,-5.206383020E-2,5.701170422E-1
7.643179166E-1,-6.520144939E-1,4.850681499E-2,7.572070230E-3,6.538601897E-1
7.743019166E-1,-6.938540936E-1,-9.883125313E-4,6.731217355E-2,6.971121923E-1
7.842867083E-1,-7.472030520E-1,-2.278735116E-2,8.044901490E-2,7.518668156E-1
7.942707083E-1,-8.291652203E-1,1.280637830E-2,3.669664636E-2,8.300756650E-1
8.042557084E-1,-9.032519460E-1,1.699153706E-2,-2.728952281E-2,9.038238259E-1
8.142397084E-1,-9.424472451E-1,-4.453581292E-3,-7.340314984E-2,9.453119414E-1
8.242247083E-1,-9.873949885E-1,1.333846524E-2,-7.803519070E-2,9.905636118E-1
