"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678348089442349E9,"2023-03-09 08:48:09.442 UTC+01:00"
"PAUSE",7.549453666666523E0,1.678348096991729E9,"2023-03-09 08:48:16.992 UTC+01:00"
