"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678347980336448E9,"2023-03-09 08:46:20.336 UTC+01:00"
"PAUSE",5.115771833341569E0,1.678347985452171E9,"2023-03-09 08:46:25.452 UTC+01:00"
